CLAIM_ID_SEQ	OEM_CODE	DEALER	DISTR	FC	ENGINE_NAME_DESC	FAILCODE	SHOPORDERNUM	FAILURE_MODE_BUCKET	CLEANED_CORRECTION	DOCUMENT
17695594	1470	25002	1706	567.0,4579.0	ISX12 2020	THAS	1032913	TSS - WELD PROCESS DEFECT	Replaced faulty turbocharger speed sensor due to TSS weld process defect. Performed functional test post-repair.	{"OEM_CODE":1470,"DEALER":"25002","DISTR":"1706","FC":"567.0,4579.0","ENGINE_NAME_DESC":"ISX12 2020","FAILCODE":"THAS","SHOPORDERNUM":"1032913","FAILURE_MODE_BUCKET":"TSS - WELD PROCESS DEFECT","CLEANED_CORRECTION":"Replaced faulty turbocharger speed sensor due to TSS weld process defect. Performed functional test post-repair."}
17695595	1471	25003	1707	678.0,4580.0	X15 3 2017	ELTS	1032914	TSS - WELD PROCESS DEFECT	Replaced faulty turbo speed sensor due to TSS weld process defect. Performed stationary regen and road test.	{"OEM_CODE":1471,"DEALER":"25003","DISTR":"1707","FC":"678.0,4580.0","ENGINE_NAME_DESC":"X15 3 2017","FAILCODE":"ELTS","SHOPORDERNUM":"1032914","FAILURE_MODE_BUCKET":"TSS - WELD PROCESS DEFECT","CLEANED_CORRECTION":"Replaced faulty turbo speed sensor due to TSS weld process defect. Performed stationary regen and road test."}
17695596	1472	25004	1708	234.0,4211.0	ISX15 2019	THAS	1032915	TSS - WELD PROCESS DEFECT	Replaced faulty turbocharger actuator due to TSS weld process defect. Completed functional test post-repair.	{"OEM_CODE":1472,"DEALER":"25004","DISTR":"1708","FC":"234.0,4211.0","ENGINE_NAME_DESC":"ISX15 2019","FAILCODE":"THAS","SHOPORDERNUM":"1032915","FAILURE_MODE_BUCKET":"TSS - WELD PROCESS DEFECT","CLEANED_CORRECTION":"Replaced faulty turbocharger actuator due to TSS weld process defect. Completed functional test post-repair."}
17695597	1473	25005	1709	901.0,3987.0	X15 3 2018	ELTS	1032916	TSS - WELD PROCESS DEFECT	Replaced faulty turbo speed sensor due to TSS weld process defect. Performed stationary regen and road test.	{"OEM_CODE":1473,"DEALER":"25005","DISTR":"1709","FC":"901.0,3987.0","ENGINE_NAME_DESC":"X15 3 2018","FAILCODE":"ELTS","SHOPORDERNUM":"1032916","FAILURE_MODE_BUCKET":"TSS - WELD PROCESS DEFECT","CLEANED_CORRECTION":"Replaced faulty turbo speed sensor due to TSS weld process defect. Performed stationary regen and road test."}
17695598	1474	25006	1710	456.0,4563.0	ISX12 2020	THAS	1032917	TSS - WELD PROCESS DEFECT	Replaced faulty turbocharger speed sensor due to TSS weld process defect. Completed functional test post-repair.	{"OEM_CODE":1474,"DEALER":"25006","DISTR":"1710","FC":"456.0,4563.0","ENGINE_NAME_DESC":"ISX12 2020","FAILCODE":"THAS","SHOPORDERNUM":"1032917","FAILURE_MODE_BUCKET":"TSS - WELD PROCESS DEFECT","CLEANED_CORRECTION":"Replaced faulty turbocharger speed sensor due to TSS weld process defect. Completed functional test post-repair."}
17695599	1475	25007	1711	234.0,4211.0	ISX15 2020	ELTS	1032918	TSS - INTERMITTENT SIGNAL	Replaced faulty turbocharger speed sensor due to TSS intermittent signal. Completed functional test post-repair.	{"OEM_CODE":1475,"DEALER":"25007","DISTR":"1711","FC":"234.0,4211.0","ENGINE_NAME_DESC":"ISX15 2020","FAILCODE":"ELTS","SHOPORDERNUM":"1032918","FAILURE_MODE_BUCKET":"TSS - INTERMITTENT SIGNAL","CLEANED_CORRECTION":"Replaced faulty turbocharger speed sensor due to TSS intermittent signal. Completed functional test post-repair."}
17695600	1476	25008	1712	456.0,3987.0	X15 3 2017	THAC	1032919	TSS - INTERMITTENT SIGNAL	Replaced faulty engine control module due to TSS intermittent signal. Performed stationary regen and road test.	{"OEM_CODE":1476,"DEALER":"25008","DISTR":"1712","FC":"456.0,3987.0","ENGINE_NAME_DESC":"X15 3 2017","FAILCODE":"THAC","SHOPORDERNUM":"1032919","FAILURE_MODE_BUCKET":"TSS - INTERMITTENT SIGNAL","CLEANED_CORRECTION":"Replaced faulty engine control module due to TSS intermittent signal. Performed stationary regen and road test."}
17695601	1477	25009	1713	789.0,4563.0	ISX12 2019	ELTS	1032920	TSS - INTERMITTENT SIGNAL	Replaced faulty throttle actuator due to TSS intermittent signal. Completed functional test post-repair.	{"OEM_CODE":1477,"DEALER":"25009","DISTR":"1713","FC":"789.0,4563.0","ENGINE_NAME_DESC":"ISX12 2019","FAILCODE":"ELTS","SHOPORDERNUM":"1032920","FAILURE_MODE_BUCKET":"TSS - INTERMITTENT SIGNAL","CLEANED_CORRECTION":"Replaced faulty throttle actuator due to TSS intermittent signal. Completed functional test post-repair."}
17695602	1478	25010	1714	456.0,4587.0	ISX12 2019	ELTS	1032921	ACT(E) DAMAGE INDUCED (THERMAL OVERSTRESS)	Replaced faulty engine speed sensor due to thermal overstress. Completed stationary regen post-repair.	{"OEM_CODE":1478,"DEALER":"25010","DISTR":"1714","FC":"456.0,4587.0","ENGINE_NAME_DESC":"ISX12 2019","FAILCODE":"ELTS","SHOPORDERNUM":"1032921","FAILURE_MODE_BUCKET":"ACT(E) DAMAGE INDUCED (THERMAL OVERSTRESS)","CLEANED_CORRECTION":"Replaced faulty engine speed sensor due to thermal overstress. Completed stationary regen post-repair."}
17695603	1479	25011	1715	789.0,4211.0	X15 3 2018	THAS	1032922	ACT(E) DAMAGE INDUCED (THERMAL OVERSTRESS)	Replaced faulty turbocharger actuator due to thermal overstress. Performed road test post-repair.	{"OEM_CODE":1479,"DEALER":"25011","DISTR":"1715","FC":"789.0,4211.0","ENGINE_NAME_DESC":"X15 3 2018","FAILCODE":"THAS","SHOPORDERNUM":"1032922","FAILURE_MODE_BUCKET":"ACT(E) DAMAGE INDUCED (THERMAL OVERSTRESS)","CLEANED_CORRECTION":"Replaced faulty turbocharger actuator due to thermal overstress. Performed road test post-repair."}
17695604	1480	25012	1716	901.0,3987.0	ISX15 2020	ELTS	1032923	ACT(E) DAMAGE INDUCED (THERMAL OVERSTRESS)	Replaced faulty engine control module due to thermal overstress. Completed functional test post-repair.	{"OEM_CODE":1480,"DEALER":"25012","DISTR":"1716","FC":"901.0,3987.0","ENGINE_NAME_DESC":"ISX15 2020","FAILCODE":"ELTS","SHOPORDERNUM":"1032923","FAILURE_MODE_BUCKET":"ACT(E) DAMAGE INDUCED (THERMAL OVERSTRESS)","CLEANED_CORRECTION":"Replaced faulty engine control module due to thermal overstress. Completed functional test post-repair."}
17695605	1481	25013	1717	234.0,4563.0	X15 3 2017	THAS	1032924	ACT(E) DAMAGE INDUCED (THERMAL OVERSTRESS)	Replaced faulty turbo speed sensor due to thermal overstress. Performed stationary regen and road test.	{"OEM_CODE":1481,"DEALER":"25013","DISTR":"1717","FC":"234.0,4563.0","ENGINE_NAME_DESC":"X15 3 2017","FAILCODE":"THAS","SHOPORDERNUM":"1032924","FAILURE_MODE_BUCKET":"ACT(E) DAMAGE INDUCED (THERMAL OVERSTRESS)","CLEANED_CORRECTION":"Replaced faulty turbo speed sensor due to thermal overstress. Performed stationary regen and road test."}
17695608	1484	25016	1720	123.0,4593.0	X15 3 2018	THAC	1032927	ACT(E) LOOSE APS MAGNET	Replaced faulty throttle actuator due to loose APS magnet. Performed road test post-repair.	{"OEM_CODE":1484,"DEALER":"25016","DISTR":"1720","FC":"123.0,4593.0","ENGINE_NAME_DESC":"X15 3 2018","FAILCODE":"THAC","SHOPORDERNUM":"1032927","FAILURE_MODE_BUCKET":"ACT(E) LOOSE APS MAGNET","CLEANED_CORRECTION":"Replaced faulty throttle actuator due to loose APS magnet. Performed road test post-repair."}
17695609	1485	25017	1721	234.0,4594.0	ISX12 2020	THAS	1032928	ACT(E) LOOSE APS MAGNET	Replaced faulty turbocharger speed sensor due to loose APS magnet. Performed functional test post-repair.	{"OEM_CODE":1485,"DEALER":"25017","DISTR":"1721","FC":"234.0,4594.0","ENGINE_NAME_DESC":"ISX12 2020","FAILCODE":"THAS","SHOPORDERNUM":"1032928","FAILURE_MODE_BUCKET":"ACT(E) LOOSE APS MAGNET","CLEANED_CORRECTION":"Replaced faulty turbocharger speed sensor due to loose APS magnet. Performed functional test post-repair."}
17695610	1486	25018	1722	789.0,4211.0	X15 3 2017	THAC	1032929	ACT(E) LOOSE APS MAGNET	Replaced faulty engine control module due to loose APS magnet. Completed stationary regen post-repair.	{"OEM_CODE":1486,"DEALER":"25018","DISTR":"1722","FC":"789.0,4211.0","ENGINE_NAME_DESC":"X15 3 2017","FAILCODE":"THAC","SHOPORDERNUM":"1032929","FAILURE_MODE_BUCKET":"ACT(E) LOOSE APS MAGNET","CLEANED_CORRECTION":"Replaced faulty engine control module due to loose APS magnet. Completed stationary regen post-repair."}
17695611	1487	25019	1723	901.0,3987.0	ISX15 2019	THAS	1032930	ACT(E) LOOSE APS MAGNET	Replaced faulty throttle actuator due to loose APS magnet. Performed road test post-repair.	{"OEM_CODE":1487,"DEALER":"25019","DISTR":"1723","FC":"901.0,3987.0","ENGINE_NAME_DESC":"ISX15 2019","FAILCODE":"THAS","SHOPORDERNUM":"1032930","FAILURE_MODE_BUCKET":"ACT(E) LOOSE APS MAGNET","CLEANED_CORRECTION":"Replaced faulty throttle actuator due to loose APS magnet. Performed road test post-repair."}
17695612	1488	25020	1724	456.0,4563.0	X15 3 2020	THAC	1032931	ACT(E) LOOSE APS MAGNET	Replaced faulty turbo speed sensor due to loose APS magnet. Performed stationary regen and road test.	{"OEM_CODE":1488,"DEALER":"25020","DISTR":"1724","FC":"456.0,4563.0","ENGINE_NAME_DESC":"X15 3 2020","FAILCODE":"THAC","SHOPORDERNUM":"1032931","FAILURE_MODE_BUCKET":"ACT(E) LOOSE APS MAGNET","CLEANED_CORRECTION":"Replaced faulty turbo speed sensor due to loose APS magnet. Performed stationary regen and road test."}
17695612	1488	25020	1724	567.0,4597.0	ISX12 2019	ELTS	1032931	TURBINE/NOZZLE FOD	Replaced faulty engine speed sensor due to turbine/nozzle FOD. Completed stationary regen post-repair.	{"OEM_CODE":1488,"DEALER":"25020","DISTR":"1724","FC":"567.0,4597.0","ENGINE_NAME_DESC":"ISX12 2019","FAILCODE":"ELTS","SHOPORDERNUM":"1032931","FAILURE_MODE_BUCKET":"TURBINE/NOZZLE FOD","CLEANED_CORRECTION":"Replaced faulty engine speed sensor due to turbine/nozzle FOD. Completed stationary regen post-repair."}
17695614	1490	25022	1726	789.0,4599.0	ISX12 2020	THAS	1032933	TURBINE/NOZZLE FOD	Replaced faulty turbocharger speed sensor due to turbine/nozzle FOD. Performed functional test post-repair.	{"OEM_CODE":1490,"DEALER":"25022","DISTR":"1726","FC":"789.0,4599.0","ENGINE_NAME_DESC":"ISX12 2020","FAILCODE":"THAS","SHOPORDERNUM":"1032933","FAILURE_MODE_BUCKET":"TURBINE/NOZZLE FOD","CLEANED_CORRECTION":"Replaced faulty turbocharger speed sensor due to turbine/nozzle FOD. Performed functional test post-repair."}
17695615	1491	25023	1727	234.0,4211.0	X15 3 2018	ELTS	1032934	TURBINE/NOZZLE FOD	Replaced faulty throttle actuator due to turbine/nozzle FOD. Performed road test post-repair.	{"OEM_CODE":1491,"DEALER":"25023","DISTR":"1727","FC":"234.0,4211.0","ENGINE_NAME_DESC":"X15 3 2018","FAILCODE":"ELTS","SHOPORDERNUM":"1032934","FAILURE_MODE_BUCKET":"TURBINE/NOZZLE FOD","CLEANED_CORRECTION":"Replaced faulty throttle actuator due to turbine/nozzle FOD. Performed road test post-repair."}
17695616	1492	25024	1728	901.0,3987.0	ISX15 2019	THAS	1032935	TURBINE/NOZZLE FOD	Replaced faulty engine control module due to turbine/nozzle FOD. Completed functional test post-repair.	{"OEM_CODE":1492,"DEALER":"25024","DISTR":"1728","FC":"901.0,3987.0","ENGINE_NAME_DESC":"ISX15 2019","FAILCODE":"THAS","SHOPORDERNUM":"1032935","FAILURE_MODE_BUCKET":"TURBINE/NOZZLE FOD","CLEANED_CORRECTION":"Replaced faulty engine control module due to turbine/nozzle FOD. Completed functional test post-repair."}
17695617	1493	25025	1729	456.0,4563.0	X15 3 2020	ELTS	1032936	TURBINE/NOZZLE FOD	Replaced faulty turbo speed sensor due to turbine/nozzle FOD. Performed stationary regen and road test.	{"OEM_CODE":1493,"DEALER":"25025","DISTR":"1729","FC":"456.0,4563.0","ENGINE_NAME_DESC":"X15 3 2020","FAILCODE":"ELTS","SHOPORDERNUM":"1032936","FAILURE_MODE_BUCKET":"TURBINE/NOZZLE FOD","CLEANED_CORRECTION":"Replaced faulty turbo speed sensor due to turbine/nozzle FOD. Performed stationary regen and road test."}
17695612	1488	25020	1724	567.0,4597.0	ISX12 2019	ELTS	1032931	TURBINE/NOZZLE FOD	Replaced faulty engine speed sensor due to turbine/nozzle FOD. Completed stationary regen post-repair.	{"OEM_CODE":1488,"DEALER":"25020","DISTR":"1724","FC":"567.0,4597.0","ENGINE_NAME_DESC":"ISX12 2019","FAILCODE":"ELTS","SHOPORDERNUM":"1032931","FAILURE_MODE_BUCKET":"TURBINE/NOZZLE FOD","CLEANED_CORRECTION":"Replaced faulty engine speed sensor due to turbine/nozzle FOD. Completed stationary regen post-repair."}
17695613	1489	25021	1725	678.0,4598.0	X15 3 2018	THAC	1032932	TURBINE/NOZZLE FOD	Replaced faulty throttle actuator due to turbine/nozzle FOD. Performed road test post-repair.	{"OEM_CODE":1489,"DEALER":"25021","DISTR":"1725","FC":"678.0,4598.0","ENGINE_NAME_DESC":"X15 3 2018","FAILCODE":"THAC","SHOPORDERNUM":"1032932","FAILURE_MODE_BUCKET":"TURBINE/NOZZLE FOD","CLEANED_CORRECTION":"Replaced faulty throttle actuator due to turbine/nozzle FOD. Performed road test post-repair."}
17695614	1490	25022	1726	234.0,4600.0	ISX15 2019	ELTS	1032933	TURBINE/NOZZLE FOD	Replaced faulty turbocharger speed sensor due to turbine/nozzle FOD. Performed functional test post-repair.	{"OEM_CODE":1490,"DEALER":"25022","DISTR":"1726","FC":"234.0,4600.0","ENGINE_NAME_DESC":"ISX15 2019","FAILCODE":"ELTS","SHOPORDERNUM":"1032933","FAILURE_MODE_BUCKET":"TURBINE/NOZZLE FOD","CLEANED_CORRECTION":"Replaced faulty turbocharger speed sensor due to turbine/nozzle FOD. Performed functional test post-repair."}
17695615	1491	25023	1727	901.0,4601.0	X15 3 2020	THAC	1032934	TURBINE/NOZZLE FOD	Replaced faulty engine control module due to turbine/nozzle FOD. Completed stationary regen post-repair.	{"OEM_CODE":1491,"DEALER":"25023","DISTR":"1727","FC":"901.0,4601.0","ENGINE_NAME_DESC":"X15 3 2020","FAILCODE":"THAC","SHOPORDERNUM":"1032934","FAILURE_MODE_BUCKET":"TURBINE/NOZZLE FOD","CLEANED_CORRECTION":"Replaced faulty engine control module due to turbine/nozzle FOD. Completed stationary regen post-repair."}
17695616	1492	25024	1728	456.0,4602.0	ISX12 2019	ELTS	1032935	TURBINE/NOZZLE FOD	Replaced faulty turbo speed sensor due to turbine/nozzle FOD. Performed road test post-repair.	{"OEM_CODE":1492,"DEALER":"25024","DISTR":"1728","FC":"456.0,4602.0","ENGINE_NAME_DESC":"ISX12 2019","FAILCODE":"ELTS","SHOPORDERNUM":"1032935","FAILURE_MODE_BUCKET":"TURBINE/NOZZLE FOD","CLEANED_CORRECTION":"Replaced faulty turbo speed sensor due to turbine/nozzle FOD. Performed road test post-repair."}
17695623	1499	25031	1735	789.0,4608.0	X15 3 2018	THAC	1032942	ACT(E) CONSEQUENTIAL DAMAGE	Replaced faulty throttle actuator due to consequential damage. Performed road test post-repair.	{"OEM_CODE":1499,"DEALER":"25031","DISTR":"1735","FC":"789.0,4608.0","ENGINE_NAME_DESC":"X15 3 2018","FAILCODE":"THAC","SHOPORDERNUM":"1032942","FAILURE_MODE_BUCKET":"ACT(E) CONSEQUENTIAL DAMAGE","CLEANED_CORRECTION":"Replaced faulty throttle actuator due to consequential damage. Performed road test post-repair."}
17695628	1504	25036	1740	345.0,4613.0	ISX12 2019	ELTS	1032947	ACT(E) CONSEQUENTIAL DAMAGE	Replaced faulty engine speed sensor due to consequential damage. Completed stationary regen post-repair.	{"OEM_CODE":1504,"DEALER":"25036","DISTR":"1740","FC":"345.0,4613.0","ENGINE_NAME_DESC":"ISX12 2019","FAILCODE":"ELTS","SHOPORDERNUM":"1032947","FAILURE_MODE_BUCKET":"ACT(E) CONSEQUENTIAL DAMAGE","CLEANED_CORRECTION":"Replaced faulty engine speed sensor due to consequential damage. Completed stationary regen post-repair."}
17695629	1505	25037	1741	901.0,4614.0	X15 3 2020	THAC	1032948	ACT(E) CONSEQUENTIAL DAMAGE	Replaced faulty turbocharger speed sensor due to consequential damage. Performed functional test post-repair.	{"OEM_CODE":1505,"DEALER":"25037","DISTR":"1741","FC":"901.0,4614.0","ENGINE_NAME_DESC":"X15 3 2020","FAILCODE":"THAC","SHOPORDERNUM":"1032948","FAILURE_MODE_BUCKET":"ACT(E) CONSEQUENTIAL DAMAGE","CLEANED_CORRECTION":"Replaced faulty turbocharger speed sensor due to consequential damage. Performed functional test post-repair."}
17695630	1506	25038	1742	234.0,4615.0	ISX15 2019	ELTS	1032949	ACT(E) CONSEQUENTIAL DAMAGE	Replaced faulty engine control module due to consequential damage. Completed stationary regen post-repair.	{"OEM_CODE":1506,"DEALER":"25038","DISTR":"1742","FC":"234.0,4615.0","ENGINE_NAME_DESC":"ISX15 2019","FAILCODE":"ELTS","SHOPORDERNUM":"1032949","FAILURE_MODE_BUCKET":"ACT(E) CONSEQUENTIAL DAMAGE","CLEANED_CORRECTION":"Replaced faulty engine control module due to consequential damage. Completed stationary regen post-repair."}
17695631	1507	25039	1743	456.0,4616.0	X15 3 2018	THAC	1032950	ACT(E) CONSEQUENTIAL DAMAGE	Replaced faulty throttle actuator due to consequential damage. Performed road test post-repair.	{"OEM_CODE":1507,"DEALER":"25039","DISTR":"1743","FC":"456.0,4616.0","ENGINE_NAME_DESC":"X15 3 2018","FAILCODE":"THAC","SHOPORDERNUM":"1032950","FAILURE_MODE_BUCKET":"ACT(E) CONSEQUENTIAL DAMAGE","CLEANED_CORRECTION":"Replaced faulty throttle actuator due to consequential damage. Performed road test post-repair."}
17695624	1500	25032	1736	890.0,4609.0	ISX12 2020	THAS	1032943	ACT(E) BROKEN SOLDER JOINT	Replaced faulty turbocharger speed sensor due to broken solder joint. Performed functional test post-repair.	{"OEM_CODE":1500,"DEALER":"25032","DISTR":"1736","FC":"890.0,4609.0","ENGINE_NAME_DESC":"ISX12 2020","FAILCODE":"THAS","SHOPORDERNUM":"1032943","FAILURE_MODE_BUCKET":"ACT(E) BROKEN SOLDER JOINT","CLEANED_CORRECTION":"Replaced faulty turbocharger speed sensor due to broken solder joint. Performed functional test post-repair."}
17695629	1505	25037	1741	456.0,4614.0	X15 3 2018	THAC	1032948	ACT(E) BROKEN SOLDER JOINT	Replaced faulty throttle actuator due to broken solder joint. Performed road test post-repair.	{"OEM_CODE":1505,"DEALER":"25037","DISTR":"1741","FC":"456.0,4614.0","ENGINE_NAME_DESC":"X15 3 2018","FAILCODE":"THAC","SHOPORDERNUM":"1032948","FAILURE_MODE_BUCKET":"ACT(E) BROKEN SOLDER JOINT","CLEANED_CORRECTION":"Replaced faulty throttle actuator due to broken solder joint. Performed road test post-repair."}
17695630	1506	25038	1742	234.0,4615.0	ISX15 2019	THAS	1032949	ACT(E) BROKEN SOLDER JOINT	Replaced faulty engine control module due to broken solder joint. Completed stationary regen post-repair.	{"OEM_CODE":1506,"DEALER":"25038","DISTR":"1742","FC":"234.0,4615.0","ENGINE_NAME_DESC":"ISX15 2019","FAILCODE":"THAS","SHOPORDERNUM":"1032949","FAILURE_MODE_BUCKET":"ACT(E) BROKEN SOLDER JOINT","CLEANED_CORRECTION":"Replaced faulty engine control module due to broken solder joint. Completed stationary regen post-repair."}
17695631	1507	25039	1743	901.0,4616.0	X15 3 2020	THAC	1032950	ACT(E) BROKEN SOLDER JOINT	Replaced faulty turbo speed sensor due to broken solder joint. Performed stationary regen and road test.	{"OEM_CODE":1507,"DEALER":"25039","DISTR":"1743","FC":"901.0,4616.0","ENGINE_NAME_DESC":"X15 3 2020","FAILCODE":"THAC","SHOPORDERNUM":"1032950","FAILURE_MODE_BUCKET":"ACT(E) BROKEN SOLDER JOINT","CLEANED_CORRECTION":"Replaced faulty turbo speed sensor due to broken solder joint. Performed stationary regen and road test."}
17695632	1508	25040	1744	567.0,4617.0	ISX12 2019	THAS	1032951	ACT(E) BROKEN SOLDER JOINT	Replaced faulty engine speed sensor due to broken solder joint. Completed functional test post-repair.	{"OEM_CODE":1508,"DEALER":"25040","DISTR":"1744","FC":"567.0,4617.0","ENGINE_NAME_DESC":"ISX12 2019","FAILCODE":"THAS","SHOPORDERNUM":"1032951","FAILURE_MODE_BUCKET":"ACT(E) BROKEN SOLDER JOINT","CLEANED_CORRECTION":"Replaced faulty engine speed sensor due to broken solder joint. Completed functional test post-repair."}
17695625	1501	25033	1737	901.0,4610.0	X15 3 2017	ELTS	1032944	OIL CONTAMINATION	Replaced faulty turbo speed sensor due to oil contamination. Performed stationary regen and road test.	{"OEM_CODE":1501,"DEALER":"25033","DISTR":"1737","FC":"901.0,4610.0","ENGINE_NAME_DESC":"X15 3 2017","FAILCODE":"ELTS","SHOPORDERNUM":"1032944","FAILURE_MODE_BUCKET":"OIL CONTAMINATION","CLEANED_CORRECTION":"Replaced faulty turbo speed sensor due to oil contamination. Performed stationary regen and road test."}
17695630	1506	25038	1742	567.0,4615.0	ISX12 2020	THAS	1032949	OIL CONTAMINATION	Replaced faulty turbocharger speed sensor due to oil contamination. Performed functional test post-repair.	{"OEM_CODE":1506,"DEALER":"25038","DISTR":"1742","FC":"567.0,4615.0","ENGINE_NAME_DESC":"ISX12 2020","FAILCODE":"THAS","SHOPORDERNUM":"1032949","FAILURE_MODE_BUCKET":"OIL CONTAMINATION","CLEANED_CORRECTION":"Replaced faulty turbocharger speed sensor due to oil contamination. Performed functional test post-repair."}
